id,class,long,lat,NDVI,NDWI,NDCI,NDMI,PSRI,BNDVI,ONIR,ODVI,HubDist
"73396","4",119.964348,5.090166,0.012779,-0.015256,0.033568,0.101704,0.005855,0.015844,6110.508891,0.010852,629.418429417923
"73397","4",119.964528,5.090165,0.011720,-0.016899,0.031218,0.106354,0.013630,0.018847,6468.508891,0.009793,638.583318420418
"73398","4",119.964708,5.090164,0.009144,-0.015475,0.030782,0.116322,0.024095,0.021578,6722.508891,0.007217,648.234717853928
"73399","4",119.964888,5.090163,0.005695,-0.013583,0.034589,0.094553,0.018606,0.015526,6171.508891,0.003768,658.351231104783
"73400","4",119.965069,5.090163,0.006733,-0.012585,0.034334,0.089946,0.013752,0.013946,6149.508891,0.004806,668.911755296229
"73401","4",119.965249,5.090162,0.010191,-0.014707,0.033871,0.087488,0.006868,0.013787,6055.508891,0.008264,679.89560056662
"73402","4",119.965429,5.090161,0.013342,-0.017915,0.037163,0.078724,-0.003104,0.011714,5781.508891,0.011415,691.282588380885
"73403","4",119.965609,5.090160,0.015066,-0.019248,0.033846,0.081089,0.005600,0.018010,5770.508891,0.013139,703.053130258576
"73404","4",119.965789,5.090159,0.027303,-0.021551,0.029020,0.101903,-0.027331,0.013435,6069.508891,0.025376,715.18828862536
"73405","4",119.965970,5.090158,0.024368,-0.025178,0.035547,0.091049,-0.017410,0.015340,6001.508891,0.022441,727.66982159976
"73406","4",119.966150,5.090158,0.016905,-0.018048,0.024459,0.110939,0.006920,0.020464,6826.508891,0.014978,740.480213657
"73407","4",119.966330,5.090157,0.018911,-0.023735,0.034236,0.099241,0.007203,0.022693,6764.508891,0.016984,753.602694028608
"73408","4",119.966510,5.090156,0.025973,-0.028664,0.032422,0.096963,0.002187,0.027125,6460.508891,0.024046,767.021244667717
"73409","4",119.966690,5.090155,0.037634,-0.038656,0.033006,0.096819,-0.004088,0.035462,6137.508891,0.035707,780.720599441843
"74698","4",119.960743,5.090002,0.206831,-0.195890,0.061180,0.138767,0.026759,0.225517,2182.008891,0.204904,595.266015600125
"74699","4",119.960923,5.090001,0.214535,-0.206527,0.079526,0.129804,0.037101,0.241099,1884.508891,0.212608,591.60176408151
"74700","4",119.961103,5.090000,0.215879,-0.201250,0.069444,0.128265,0.003292,0.218190,2068.508891,0.213952,588.593384756552
"74701","4",119.961284,5.089999,0.168759,-0.156273,0.062190,0.137063,-0.002978,0.166855,2878.508891,0.166832,586.250974314523
"74702","4",119.961464,5.089999,0.118502,-0.108895,0.041473,0.142741,-0.014934,0.109881,3840.508891,0.116575,584.582538049303
"74703","4",119.961644,5.089998,0.086816,-0.085064,0.038073,0.129567,0.008706,0.091810,4283.508891,0.084889,583.593856128992
"74704","4",119.961824,5.089997,0.067982,-0.069476,0.037848,0.125531,0.012589,0.075052,4720.508891,0.066055,583.288384809645
"74705","4",119.962004,5.089996,0.064374,-0.065068,0.036422,0.138003,0.015242,0.072854,4755.508891,0.062447,583.667196465348
"74706","4",119.962185,5.089995,0.068588,-0.061975,0.031542,0.154889,-0.014642,0.060662,4230.508891,0.066661,584.728960844127
"74707","4",119.962365,5.089994,0.060784,-0.056751,0.029528,0.158837,-0.003434,0.058911,3922.508891,0.058857,586.469968306054
"74708","4",119.962545,5.089994,0.060060,-0.055448,0.034661,0.162283,-0.009138,0.055057,3925.508891,0.058133,588.884194103508
"74709","4",119.962725,5.089993,0.066126,-0.055288,0.035721,0.171219,-0.031782,0.048835,4141.508891,0.064199,591.963401133817
"74710","4",119.962905,5.089992,0.054468,-0.046130,0.030512,0.173814,-0.029907,0.038465,4177.508891,0.052541,595.697277133247
"74711","4",119.963086,5.089991,0.039252,-0.033361,0.033744,0.151735,-0.025546,0.025452,3784.508891,0.037325,600.073601138764
"74712","4",119.963266,5.089990,0.030194,-0.027693,0.028618,0.143686,-0.022391,0.018263,3939.508891,0.028267,605.078433173091
